"","Date","ASVABC","HEIGHT","LIBRARY","MALE","POV78","S","SF","SM","URBAN","WEIGHT"
"31",31-01-01,41.54387,68,1,1,1,12,12,14,0,155
"32",32-01-01,29.82122,64,1,1,0,11,11,11,1,139
"33",33-01-01,64.98915,61,1,0,0,19,17,16,0,105
"34",34-01-01,55.72008,72,1,1,0,14,16,12,1,195
"35",35-01-01,56.53794,65,1,0,0,12,12,12,0,140
"36",36-01-01,54.35698,71,1,1,0,12,16,12,0,195
"37",37-01-01,57.08318,66,1,0,0,14,10,12,1,115
"38",38-01-01,46.99625,69,0,1,0,14,10,12,2,195
"39",39-01-01,51.08555,70,1,1,0,12,7,12,1,130
"40",40-01-01,55.44746,70,1,1,0,18,16,16,1,175
"41",41-01-01,59.80938,70,0,1,0,14,12,12,1,180
"42",42-01-01,33.91051,61,0,0,1,12,15,10,1,145
"43",43-01-01,50.54031,67,1,0,0,17,16,15,1,150
"44",44-01-01,59.26414,67,0,0,0,12,11,12,0,142
"45",45-01-01,37.99981,74,1,1,0,12,7,12,1,170
"46",46-01-01,64.71653,74,1,1,0,16,14,12,1,200
"47",47-01-01,41.81648,67,1,0,0,12,12,12,1,140
"48",48-01-01,65.80701,68,1,1,1e-37,20,20,16,1,137
"49",49-01-01,55.72008,67,0,0,1,12,5,8,0,155
"50",50-01-01,64.98915,63,1,0,0,12,6,12,1,140
"51",51-01-01,49.72245,65,1,1,0,11,6,9,0,150
"52",52-01-01,60.082,63,1,0,0,17,12,12,1,120
"53",53-01-01,55.44746,70,1,1,0,18,12,12,1,205
"54",54-01-01,60.89985,70,0,1,0,12,9,11,1,150
"55",55-01-01,60.35461,75,1,1,0,18,13,13,1,195
"56",56-01-01,48.08673,71,1,1,0,12,14,14,1,155
"57",57-01-01,61.99033,68,1,0,0,12,12,12,0,124
"58",58-01-01,51.35817,72,0,1,0,12,11,12,1,165
"59",59-01-01,39.63553,74,1,1,0,10,12,12,1,180
"60",60-01-01,57.08318,62,1,0,0,15,18,16,0,120
"61",61-01-01,47.5415,70,1,1,0,12,12,12,1,140
"62",62-01-01,38.27243,65,0,0,0,12,12,12,1,170
"63",63-01-01,59.80938,69,1,1,0,15,12,12,0,180
"64",64-01-01,62.53557,73,1,1,0,12,10,9,1,200
"65",65-01-01,57.90104,69,1,0,0,15,12,12,2,200
"66",66-01-01,53.81174,63,1,0,0,12,12,12,1,112
"67",67-01-01,41.54387,72,0,1,0,12,12,12,1,160
"68",68-01-01,65.80701,74,1,1,0,19,11,14,1,180
"69",69-01-01,43.4522,64,0,0,0,12,11,11,0,158
"70",70-01-01,50.81293,60,1,0,0,14,15,14,1,115
"71",71-01-01,49.72245,68,1,0,0,16,12,13,1,130
"72",72-01-01,63.62605,61,1,0,0,12,11,11,0,102
"73",73-01-01,43.17958,63,1,0,0,12,12,12,0,110
"74",74-01-01,32.2748,63,1,0,0,10,6,9,1,130
"75",75-01-01,54.35698,68,1,0,0,15,16,12,1,120
"76",76-01-01,59.53675,76,1,1,0,16,14,12,0,200
"77",77-01-01,63.62605,63,1,0,0,12,12,12,1,135
"78",78-01-01,39.63553,69,1,0,0,9,12,9,1,250
"79",79-01-01,56.53794,62,0,0,0,12,8,8,1,170
"80",80-01-01,44.54268,68,1,0,0,12,12,12,0,130
"81",81-01-01,52.17603,69,1,1,0,12,12,12,1,168
"82",82-01-01,51.08555,71,1,1,0,12,12,12,1,158
"83",83-01-01,58.17366,67,1,1,0,12,12,13,1,145
"84",84-01-01,53.26651,70,1,1,0,12,12,12,0,150
"85",85-01-01,51.35817,65,1,0,1,17,12,12,1,140
"86",86-01-01,60.89985,72,1,1,0,16,20,17,1,175
"87",87-01-01,56.53794,62,1,0,0,16,15,14,0,140
"88",88-01-01,60.62724,67,1,0,0,20,20,12,0,141
"89",89-01-01,54.90222,69,1,1,0,12,12,12,1,170
"90",90-01-01,61.17247,76,1,1,0,15,14,16,1,250
"91",91-01-01,41.81648,71,0,1,0,12,12,12,0,190
"92",92-01-01,58.7189,70,1,1,1,13,12,13,1,185
"93",93-01-01,63.89867,68,1,1,0,20,18,16,1,170
"94",94-01-01,62.26295,74,1,1,1e-37,13,10,12,1,150
"95",95-01-01,52.72127,74,1,1,0,14,16,12,1,165
"96",96-01-01,54.08437,66,1,0,0,18,7,13,1,135
"97",97-01-01,29.5486,66,1,0,1,12,0,9,1,145
"98",98-01-01,61.44509,72,0,1,0,12,9,12,0,150
"99",99-01-01,54.08437,71,1,1,0,12,16,8,1,170
"100",100-01-01,56.26532,67,1,1,0,13,12,12,1,150
"101",101-01-01,44.27006,68,1,1,0,12,9,12,0,146
"102",102-01-01,51.08555,68,1,0,0,12,12,12,0,175
"103",103-01-01,56.26532,63,1,0,0,13,10,12,1,106
"104",104-01-01,56.53794,66,1,0,1,12,12,12,1,150
"105",105-01-01,46.99625,64,1,0,0,12,12,9,1,183
"106",106-01-01,51.63079,68,1,0,0,14,9,12,0,117
"107",107-01-01,63.89867,65,1,0,0,20,12,12,0,118
"108",108-01-01,39.63553,63,1,0,0,14,12,14,1,105
"109",109-01-01,50.26769,65,1,0,0,13,11,12,1,140
"110",110-01-01,60.082,71,0,1,0,14,12,12,1,230
"111",111-01-01,52.44865,69,1,1,0,12,12,12,1,145
"112",112-01-01,60.89985,71,1,1,0,16,16,16,1,155
"113",113-01-01,51.63079,67,1,0,1e-37,12,12,9,1,150
"114",114-01-01,43.4522,66,1,1,1,13,0,2,0,155
"115",115-01-01,57.3558,70,1,1,0,12,12,12,1,145
"116",116-01-01,43.72482,68,1,1,0,12,12,12,1,153
"117",117-01-01,55.72008,67,0,1,0,12,12,11,1,170
"118",118-01-01,35.81885,65,1,0,1e-37,12,10,16,1,127
"119",119-01-01,52.17603,73,1,1,0,12,10,12,1,145
"120",120-01-01,55.9927,67,1,1,1e-37,12,13,13,1,135
"121",121-01-01,46.72364,67,1,0,0,13,12,12,1,120
"122",122-01-01,41.54387,71,1,1,0,12,3,11,1,240
"123",123-01-01,64.98915,69,1,1,0,18,8,12,1,225
"124",124-01-01,57.62842,66,1,0,0,15,10,11,1,120
"125",125-01-01,52.72127,60,1,0,0,16,12,12,0,115
"126",126-01-01,60.082,70,0,1,0,12,12,12,1,163
"127",127-01-01,51.90341,66,0,0,0,12,12,12,1,130
"128",128-01-01,41.54387,66,1,0,0,12,11,12,0,125
"129",129-01-01,66.07963,65,1,1,0,16,12,12,1,200
"130",130-01-01,39.36291,69,1,1,0,9,6,6,2,130
"131",131-01-01,57.90104,70,1,1,0,12,15,13,0,155
"132",132-01-01,55.44746,63,1,0,0,14,10,9,0,115
"133",133-01-01,65.26176,64,0,0,0,16,12,11,0,110
"134",134-01-01,37.72719,71,0,1,0,12,10,10,0,204
"135",135-01-01,47.5415,68,1,1,0,18,12,12,1,210
"136",136-01-01,47.81411,66,1,0,0,15,6,12,0,110
"137",137-01-01,45.08792,67,0,1,0,12,12,10,0,155
"138",138-01-01,40.99863,72,1,1,0,12,12,12,1,195
"139",139-01-01,60.62724,70,1,1,0,20,18,16,1,140
"140",140-01-01,39.63553,72,1,1,0,11,11,11,1,168
"141",141-01-01,33.6379,60,1,0,1,13,10,5,1,115
"142",142-01-01,44.8153,72,0,0,1,12,14,4,0,146
"143",143-01-01,49.72245,67,1,0,0,12,9,12,1,128
"144",144-01-01,48.35935,70,0,1,0,12,12,12,0,165
"145",145-01-01,47.81411,61,1,0,0,12,12,12,0,127
"146",146-01-01,38.27243,69,0,1,0,12,12,12,1,167
"147",147-01-01,55.72008,72,1,1,1e-37,16,14,12,0,190
"148",148-01-01,49.17721,72,0,1,0,12,12,8,0,205
"149",149-01-01,56.53794,70,1,1,0,12,12,12,1,135
"150",150-01-01,43.17958,74,1,1,1e-37,12,12,12,1,191
"151",151-01-01,45.08792,65,0,0,1,12,8,8,1,154
"152",152-01-01,45.63316,64,1,0,0,14,16,12,1,150
"153",153-01-01,59.26414,65,0,0,0,14,14,12,1,160
"154",154-01-01,63.89867,75,1,1,0,18,17,16,1,230
"155",155-01-01,58.17366,70,1,1,0,15,20,14,2,165
"156",156-01-01,44.8153,61,0,0,0,12,14,10,1,102
"157",157-01-01,39.63553,74,1,1,0,12,12,12,1,150
"158",158-01-01,36.90933,73,0,1,0,12,12,7,0,194
"159",159-01-01,36.36409,64,1,0,0,16,12,12,1,140
"160",160-01-01,53.26651,63,1,0,0,12,14,12,0,119
"161",161-01-01,64.71653,74,1,1,0,16,16,12,1,230
"162",162-01-01,52.44865,75,1,1,0,12,6,14,1,205
"163",163-01-01,48.90459,66,1,1,0,12,12,12,1,157
"164",164-01-01,35.81885,64,1,0,0,10,7,6,1,149
"165",165-01-01,64.98915,67,0,1,0,16,18,12,1,140
"166",166-01-01,49.72245,70,1,1,0,16,12,12,1,165
"167",167-01-01,48.90459,64,1,0,1,10,10,10,1,110
"168",168-01-01,63.35343,68,1,1,0,18,17,16,1,150
"169",169-01-01,64.98915,67,1,1,0,16,12,11,1,180
"170",170-01-01,55.17484,67,1,1,0,14,6,6,0,143
"171",171-01-01,42.0891,68,1,1,0,12,10,12,0,185
"172",172-01-01,58.99152,65,1,0,0,16,12,12,1,135
"173",173-01-01,40.99863,61,1,0,0,12,10,10,1,135
"174",174-01-01,57.90104,71,1,1,1,12,11,12,1,197
"175",175-01-01,64.17129,65,1,0,0,16,19,12,1,125
"176",176-01-01,43.17958,65,0,0,0,12,12,9,0,135
"177",177-01-01,48.35935,66,1,0,1,12,12,10,0,160
"178",178-01-01,58.7189,71,1,1,0,16,10,12,1,158
"179",179-01-01,62.80819,64,1,0,0,17,16,12,0,145
"180",180-01-01,64.71653,71,1,1,0,18,12,12,1,170
"181",181-01-01,34.72837,73,1,1,0,8,10,10,1,160
"182",182-01-01,52.99389,68,1,1,0,15,12,12,0,178
"183",183-01-01,37.18195,62,1,0,1e-37,12,12,12,1,120
"184",184-01-01,61.17247,62,0,1,0,12,12,12,0,174
"185",185-01-01,45.08792,66,1,0,0,14,11,12,1,155
"186",186-01-01,39.36291,73,1,1,0,20,12,12,0,185
"187",187-01-01,61.99033,65,0,0,0,15,16,13,0,160
"188",188-01-01,33.6379,65,0,1,1,9,8,6,1,210
"189",189-01-01,58.44628,64,0,0,0,12,8,5,0,122
"190",190-01-01,63.89867,74,1,1,0,15,14,11,1,210
"191",191-01-01,34.18314,62,1,0,1,12,12,10,1,107
"192",192-01-01,53.26651,72,0,1,0,12,12,10,1,245
"193",193-01-01,63.08081,68,1,0,0,18,8,12,0,128
"194",194-01-01,45.90578,71,1,1,0,11,16,11,1,167
"195",195-01-01,43.4522,63,1,0,0,14,12,14,1,105
"196",196-01-01,53.81174,72,0,1,0,12,12,12,0,195
"197",197-01-01,54.08437,64,0,0,0,16,12,12,1,120
"198",198-01-01,61.99033,68,1,1,0,12,12,12,1,165
"199",199-01-01,57.90104,60,1,0,0,12,12,12,1,100
"200",200-01-01,46.1784,67,1,0,0,12,12,12,0,155
"201",201-01-01,56.81056,63,1,0,0,14,5,11,0,125
"202",202-01-01,50.26769,62,1,0,0,13,11,10,1,130
"203",203-01-01,51.35817,70,1,1,0,10,8,10,1,145
"204",204-01-01,42.0891,65,1,0,0,10,10,10,1,135
"205",205-01-01,55.44746,66,0,0,0,15,13,12,1,160
"206",206-01-01,55.17484,73,1,1,0,12,12,11,1,240
"207",207-01-01,53.81174,62,0,0,0,12,12,9,0,137
"208",208-01-01,54.35698,72,1,1,0,13,12,12,1,170
"209",209-01-01,57.62842,74,1,1,0,12,16,12,1,170
"210",210-01-01,66.07963,72,1,1,0,16,16,14,1,170
"211",211-01-01,35.27361,66,1,1,1,11,7,12,1,150
"212",212-01-01,34.18314,73,0,1,0,9,9,9,0,170
"213",213-01-01,61.17247,68,1,0,0,12,12,12,1,135
"214",214-01-01,45.08792,65,1,0,0,13,10,11,0,160
"215",215-01-01,49.44983,61,1,0,0,12,14,12,0,150
"216",216-01-01,53.26651,66,0,0,1,16,16,12,1,170
"217",217-01-01,63.35343,73,1,1,0,12,12,12,1,200
"218",218-01-01,43.4522,68,1,0,1,12,8,9,1,140
"219",219-01-01,40.45338,72,1,1,0,12,12,12,0,190
"220",220-01-01,60.35461,63,1,0,0,16,6,11,1,116
"221",221-01-01,40.72601,67,1,1,0,12,14,13,1,210
"222",222-01-01,54.08437,71,1,1,0,15,12,12,1,210
"223",223-01-01,49.44983,72,1,1,1e-37,14,12,13,0,195
"224",224-01-01,64.98915,74,0,1,0,14,16,15,1,180
"225",225-01-01,60.89985,72,1,1,0,20,14,12,1,175
"226",226-01-01,46.72364,69,1,0,0,12,12,12,1,125
"227",227-01-01,45.63316,62,1,0,1,15,8,10,1,150
"228",228-01-01,63.62605,64,1,0,0,16,10,12,1,129
"229",229-01-01,54.08437,71,1,1,0,14,12,13,0,140
"230",230-01-01,65.26176,69,1,1,0,20,20,17,1,155
"231",231-01-01,57.62842,72,0,1,0,12,12,12,1,165
"232",232-01-01,63.08081,73,1,1,0,17,14,12,1,165
"233",233-01-01,54.35698,65,1,0,0,13,14,12,1,116
"234",234-01-01,48.63197,67,1,0,1,14,12,9,1,150
"235",235-01-01,57.08318,71,1,1,0,16,12,14,1,195
"236",236-01-01,37.72719,68,1,1,0,13,16,16,1,155
"237",237-01-01,45.08792,70,1,1,1e-37,12,13,16,1,135
"238",238-01-01,60.62724,62,1,0,0,12,7,16,0,155
"239",239-01-01,51.63079,62,0,0,0,13,8,10,1,155
"240",240-01-01,59.80938,67,1,0,1e-37,16,16,12,1,125
"241",241-01-01,40.18077,68,1,0,1,12,12,11,1,169
"242",242-01-01,65.26176,66,1,1,0,13,16,12,1,155
"243",243-01-01,52.72127,64,1,0,0,12,13,12,1,108
"244",244-01-01,45.36054,72,1,1,0,12,12,12,0,180
"245",245-01-01,51.90341,70,0,1,0,16,3,11,0,190
"246",246-01-01,49.17721,64,1,0,0,12,16,12,1,180
"247",247-01-01,57.90104,65,1,0,0,14,14,11,1,132
"248",248-01-01,49.44983,73,1,1,0,13,12,12,1,165
"249",249-01-01,57.08318,67,1,1,0,12,12,12,0,185
"250",250-01-01,38.54505,72,1,1,0,14,12,10,1,185
"251",251-01-01,39.36291,66,0,0,0,9,8,5,0,131
"252",252-01-01,61.99033,60,1,0,0,16,12,12,1,105
"253",253-01-01,56.53794,67,1,0,0,13,10,12,2,127
"254",254-01-01,50.81293,65,1,0,0,12,7,7,1,135
"255",255-01-01,56.26532,74,1,1,0,12,12,12,1,180
"256",256-01-01,55.17484,69,1,1,0,20,13,12,1,163
"257",257-01-01,35.27361,67,1,0,0,16,3,5,1,136
"258",258-01-01,63.89867,70,1,1,0,18,12,12,1,155
"259",259-01-01,64.44391,64,1,0,0,13,12,12,0,131
"260",260-01-01,66.07963,72,1,1,0,19,16,16,1,162
"261",261-01-01,50.26769,68,1,0,0,12,9,9,1,145
"262",262-01-01,29.82122,62,0,1,0,8,10,8,0,154
"263",263-01-01,40.45338,62,0,0,0,13,6,8,1,103
"264",264-01-01,64.98915,69,1,1,0,15,12,14,0,160
"265",265-01-01,46.45102,73,1,1,0,12,14,16,0,165
"266",266-01-01,44.8153,62,0,0,0,12,20,12,1,124
"267",267-01-01,30.36646,69,1,1,0,12,10,9,0,145
"268",268-01-01,50.54031,70,0,1,0,12,8,11,1,170
"269",269-01-01,43.17958,66,0,1,0,8,6,10,0,160
"270",270-01-01,56.81056,72,1,1,0,12,12,12,1,225
"271",271-01-01,52.72127,76,0,1,0,12,11,10,1,295
"272",272-01-01,55.44746,69,1,1,0,14,16,16,1,155
"273",273-01-01,57.3558,64,1,1,0,15,11,12,1,150
"274",274-01-01,34.72837,64,1,0,0,12,11,11,1,150
"275",275-01-01,58.17366,65,1,0,0,18,12,12,1,115
"276",276-01-01,62.80819,66,1,0,0,17,12,12,1,140
"277",277-01-01,45.36054,72,1,1,0,7,12,10,0,145
"278",278-01-01,40.99863,68,1,0,0,12,8,10,1,200
"279",279-01-01,54.35698,64,0,1,0,12,12,12,0,140
"280",280-01-01,42.0891,65,1,0,0,12,12,12,1,125
"281",281-01-01,51.08555,65,1,0,0,12,12,12,1,118
"282",282-01-01,57.62842,74,1,1,1,12,14,11,1,170
"283",283-01-01,63.89867,69,1,1,0,17,13,12,1,147
"284",284-01-01,53.53913,68,1,1,0,12,9,8,0,148
"285",285-01-01,51.08555,66,0,0,0,13,12,14,0,114
"286",286-01-01,43.72482,70,1,1,0,8,10,6,0,163
"287",287-01-01,60.082,70,1,1,0,13,14,15,0,180
"288",288-01-01,37.99981,65,1,0,0,12,11,12,1,240
"289",289-01-01,47.81411,61,0,0,0,12,11,13,1,105
"290",290-01-01,52.99389,66,1,0,0,12,12,12,1,140
"291",291-01-01,49.17721,62,1,0,1,14,13,12,1,118
"292",292-01-01,43.99744,67,1,1,0,13,12,12,0,180
"293",293-01-01,55.17484,61,1,0,0,16,12,12,1,110
"294",294-01-01,38.81767,62,1,0,1e-37,12,12,12,1,167
"295",295-01-01,36.36409,61,0,0,0,12,11,10,0,137
"296",296-01-01,57.90104,64,1,0,0,13,12,17,1,120
"297",297-01-01,52.72127,67,1,0,0,12,9,10,1,160
"298",298-01-01,55.9927,64,1,1,0,15,6,6,1,135
"299",299-01-01,55.9927,64,1,0,0,12,10,8,1,151
"300",300-01-01,48.08673,66,0,0,0,13,12,12,1,125
"301",301-01-01,53.53913,68,1,1,0,14,4,8,1,147
"302",302-01-01,58.44628,74,0,1,0,19,18,16,1,170
"303",303-01-01,41.81648,62,0,0,0,12,8,6,0,182
"304",304-01-01,48.35935,63,1,0,0,18,16,14,1,140
"305",305-01-01,64.71653,67,1,0,0,16,20,18,1,124
"306",306-01-01,35.001,63,0,1,1,14,10,9,0,110
"307",307-01-01,49.17721,65,1,0,0,12,9,16,1,125
"308",308-01-01,53.26651,72,1,1,0,12,16,12,1,170
"309",309-01-01,38.27243,63,1,0,0,12,12,12,0,102
"310",310-01-01,61.71771,60,1,0,0,14,8,12,1,110
"311",311-01-01,62.80819,70,0,1,0,18,16,13,1,140
"312",312-01-01,42.36172,67,0,0,0,12,6,10,0,130
"313",313-01-01,48.35935,70,0,1,0,12,8,10,1,180
"314",314-01-01,40.72601,62,0,0,0,8,6,12,1,155
"315",315-01-01,32.54742,66,0,0,0,12,11,7,0,136
"316",316-01-01,50.81293,65,1,0,0,13,12,12,0,140
"317",317-01-01,62.26295,71,1,1,0,14,17,16,1,170
"318",318-01-01,47.5415,67,1,1,0,20,15,12,1,135
"319",319-01-01,44.8153,60,0,0,0,12,5,9,1,135
"320",320-01-01,58.99152,68,1,1,0,16,20,20,1,185
"321",321-01-01,35.27361,62,0,0,1,12,0,0,1,103
"322",322-01-01,55.44746,68,1,1,0,12,12,10,0,150
"323",323-01-01,38.81767,69,1,1,0,12,8,12,1,178
"324",324-01-01,55.9927,68,1,0,0,16,16,12,0,160
"325",325-01-01,51.90341,69,1,0,0,16,12,12,1,150
"326",326-01-01,57.3558,63,1,0,0,17,16,14,1,115
"327",327-01-01,59.26414,66,1,0,0,16,12,17,1,110
"328",328-01-01,58.17366,64,1,0,0,15,12,12,1,107
"329",329-01-01,64.44391,71,1,1,0,19,16,14,1,168
"330",330-01-01,56.26532,67,1,0,0,18,12,12,1,118
"331",331-01-01,39.36291,64,0,0,1,9,0,9,1,130
"332",332-01-01,58.7189,71,1,1,0,16,16,12,1,180
"333",333-01-01,56.81056,70,1,0,0,17,12,15,1,160
"334",334-01-01,51.63079,72,1,1,0,12,14,12,1,150
"335",335-01-01,63.62605,71,1,1,0,14,12,12,0,177
"336",336-01-01,59.53675,65,0,0,0,16,8,12,0,125
"337",337-01-01,31.18432,68,0,1,0,12,10,11,1,143
"338",338-01-01,45.08792,75,1,1,0,12,13,10,1,190
"339",339-01-01,43.17958,73,0,1,1,12,6,10,0,190
"340",340-01-01,38.81767,65,0,0,1,16,11,12,0,147
"341",341-01-01,45.63316,63,1,0,0,12,9,12,0,150
"342",342-01-01,57.62842,70,0,1,0,14,11,12,1,165
"343",343-01-01,47.26888,69,1,1,0,17,15,12,1,183
"344",344-01-01,51.35817,67,1,1,1,16,6,5,1,155
"345",345-01-01,62.80819,67,1,0,0,18,19,12,1,140
"346",346-01-01,60.35461,72,1,1,1,12,8,13,1,155
"347",347-01-01,58.17366,65,1,0,0,20,18,14,1,115
"348",348-01-01,61.71771,70,1,1,0,16,16,14,1,175
"349",349-01-01,62.80819,63,1,0,0,16,17,14,1,116
"350",350-01-01,42.36172,62,0,0,0,12,11,8,1,130
"351",351-01-01,58.7189,75,1,1,0,14,12,9,1,295
"352",352-01-01,36.63671,62,1,0,1,12,12,13,1,135
"353",353-01-01,36.90933,66,1,1,0,12,12,10,0,190
"354",354-01-01,45.08792,68,1,1,0,12,12,12,2,170
"355",355-01-01,64.17129,71,1,1,0,15,20,17,1,190
"356",356-01-01,49.17721,66,0,0,0,12,12,12,1,145
"357",357-01-01,47.81411,66,1,0,0,13,6,12,0,125
"358",358-01-01,36.09147,69,1,1,1,8,12,10,0,160
"359",359-01-01,58.99152,64,1,0,0,15,11,8,1,101
"360",360-01-01,32.00218,67,1,1,1,12,9,8,1,158
"361",361-01-01,40.99863,64,0,1,0,14,12,12,1,145
"362",362-01-01,52.99389,69,1,1,0,12,10,9,0,235
"363",363-01-01,61.71771,65,1,0,0,13,11,8,1,115
"364",364-01-01,60.62724,60,1,0,0,15,12,12,2,100
"365",365-01-01,30.09384,65,1,1,0,9,10,9,0,200
"366",366-01-01,42.0891,71,1,1,0,12,14,14,1,200
"367",367-01-01,60.35461,76,0,1,0,14,8,5,0,202
"368",368-01-01,57.62842,72,1,1,0,15,12,12,0,180
"369",369-01-01,60.082,71,1,1,0,12,12,12,1,200
"370",370-01-01,42.63434,75,1,1,0,15,12,12,1,180
"371",371-01-01,57.08318,74,1,1,0,16,16,14,0,185
"372",372-01-01,50.54031,72,1,0,0,14,16,14,1,160
"373",373-01-01,54.35698,71,1,1,0,18,16,13,1,160
"374",374-01-01,35.81885,66,1,0,0,13,11,8,0,130
"375",375-01-01,41.27124,60,0,0,1,14,7,7,1,115
"376",376-01-01,55.17484,74,1,1,0,14,12,12,1,150
"377",377-01-01,35.001,68,0,1,1,12,8,9,0,150
"378",378-01-01,62.26295,64,1,0,1e-37,13,14,12,0,115
"379",379-01-01,38.54505,66,1,1,1,13,11,12,1,131
"380",380-01-01,54.08437,67,1,0,0,17,12,12,1,120
"381",381-01-01,45.63316,64,1,0,0,12,14,12,0,145
"382",382-01-01,49.17721,64,1,0,1,15,13,13,1,128
"383",383-01-01,62.26295,64,1,0,0,16,16,18,0,115
"384",384-01-01,61.99033,68,0,1,0,12,12,10,0,200
"385",385-01-01,54.08437,59,1,0,0,14,12,12,1,129
"386",386-01-01,60.62724,61,1,0,0,12,8,9,1,126
"387",387-01-01,56.26532,69,1,0,0,13,11,12,1,125
"388",388-01-01,44.8153,64,1,0,0,12,11,11,1,121
"389",389-01-01,63.89867,64,1,0,0,18,14,16,1,124
"390",390-01-01,37.99981,62,1,0,0,12,12,11,1,108
"391",391-01-01,59.53675,62,0,0,0,18,12,12,0,99
"392",392-01-01,57.3558,66,1,1,0,12,16,12,1,135
"393",393-01-01,65.26176,72,1,1,1e-37,16,16,12,1,155
"394",394-01-01,46.72364,69,1,1,0,12,12,16,1,145
"395",395-01-01,46.45102,64,1,0,0,13,13,12,1,140
"396",396-01-01,53.81174,72,0,1,0,12,12,8,0,175
"397",397-01-01,61.71771,64,1,0,0,20,19,14,1,120
"398",398-01-01,50.26769,72,1,1,0,16,3,3,1,210
"399",399-01-01,39.63553,65,0,0,0,12,12,9,0,140
"400",400-01-01,55.9927,70,1,1,0,12,9,14,0,190
"401",401-01-01,51.90341,67,1,1,1,12,12,12,1,140
"402",402-01-01,61.17247,71,0,1,0,14,12,12,1,212
"403",403-01-01,63.89867,74,1,1,0,16,16,17,0,180
"404",404-01-01,46.99625,69,0,1,0,12,11,11,0,180
"405",405-01-01,50.54031,66,1,1,0,14,12,10,1,123
"406",406-01-01,61.71771,65,1,0,1e-37,13,13,14,1,120
"407",407-01-01,47.26888,65,0,0,1e-37,16,6,12,0,128
"408",408-01-01,39.63553,73,1,1,0,10,8,13,1,148
"409",409-01-01,45.90578,69,0,0,0,12,8,7,1,250
"410",410-01-01,52.72127,63,0,0,1e-37,16,12,12,1,142
"411",411-01-01,58.44628,69,0,0,0,12,9,12,1,135
"412",412-01-01,52.17603,66,0,0,0,12,12,8,1,115
"413",413-01-01,57.3558,71,1,1,0,18,18,18,1,170
"414",414-01-01,51.63079,74,1,1,1e-37,16,16,12,1,240
"415",415-01-01,61.99033,71,1,1,0,16,18,13,2,170
"416",416-01-01,58.99152,69,1,0,0,18,12,12,0,185
"417",417-01-01,55.17484,73,1,1,0,12,12,12,1,180
"418",418-01-01,60.62724,73,0,1,0,14,7,4,0,205
"419",419-01-01,52.72127,74,1,1,1,12,16,12,1,180
"420",420-01-01,46.1784,65,1,0,0,12,8,9,1,110
"421",421-01-01,58.99152,62,0,0,0,12,10,12,0,115
"422",422-01-01,51.08555,63,1,0,1e-37,18,12,12,0,125
"423",423-01-01,37.45457,63,0,0,1,10,9,8,1,260
"424",424-01-01,57.62842,70,1,1,0,12,12,14,0,160
"425",425-01-01,50.54031,68,1,0,1e-37,12,8,10,1,160
"426",426-01-01,44.54268,63,1,0,0,12,16,16,1,110
"427",427-01-01,58.44628,63,1,0,0,13,20,13,1,120
"428",428-01-01,47.81411,62,0,0,0,18,12,15,1,230
"429",429-01-01,64.17129,65,1,1,0,16,16,14,1,132
"430",430-01-01,64.98915,70,1,1,0,12,12,11,1,215
"431",431-01-01,30.63908,64,0,0,1,6,8,9,0,115
"432",432-01-01,65.26176,69,1,1,0,17,15,14,1,162
