asvabc,earnings,s,sf,sm
40,9.86999907447714,12,12,12
57,23.9300021049581,16,13,18
61,16.4499986258555,17,16,12
36,4.24999992116106,11,12,12
55,13.620000859963,15,12,13
57,7.32000024248249,12,12,6
52,6.25000035207661,12,12,12
57,32.0499965966836,12,10,12
55,8.13000084525286,12,8,9
45,5.42999989997097,12,12,12
49,17.6099987952532,12,12,12
46,6.00000013043245,12,3,7
58,16.33999946095,15,12,12
65,75.0000059981742,18,8,8
44,8.0000000457117,12,11,12
61,35.2499964766835,20,12,12
37,6.25000035207661,11,8,11
49,15.3800003886813,16,16,13
56,40.0600038965491,12,8,17
41,14.0000009551801,12,12,12
61,30.5400012912632,16,12,11
54,13.2000007262734,12,12,10
60,23.070000996654,18,20,16
44,10.18000022851,14,12,7
51,20.0000006776018,12,13,9
57,15.3800003886813,18,18,18
53,7.50000036000163,12,12,8
59,8.0000000457117,13,8,8
60,28.120000770991,20,16,14
37,10.0000003197544,12,9,9
44,6.25000035207661,12,12,12
45,8.71999910168366,12,12,11
46,8.0000000457117,12,12,12
42,7.69000017969387,12,11,11
39,8.0000000457117,12,9,10
59,12.0000002837208,14,12,17
58,19.2299977611586,18,16,17
32,15.3800003886813,15,12,15
47,10.0000003197544,12,5,11
36,5.49999968231346,12,12,12
47,5.49999968231346,12,12,12
59,16.9500012265445,12,9,12
53,7.40000075723418,16,14,15
33,3.00000005950226,9,10,9
43,11.0699994923979,12,9,12
48,8.26000080115106,12,10,11
61,26.1500017758968,20,12,12
41,3.32999996306275,14,14,13
51,10.0000003197544,15,8,9
60,18.3700003420429,16,12,12
59,16.2300006191946,17,12,12
48,15.8599988579033,14,12,9
53,13.5800014956841,17,18,16
48,5.95000010532317,12,12,10
36,7.53000080886628,12,12,10
51,16.640001737247,12,10,8
50,5.04000024067895,12,8,12
50,10.0599988174224,17,12,12
58,5.00000015035391,12,12,12
62,20.4300016562428,17,16,14
49,9.35999904558742,13,10,10
58,21.0999994426769,12,11,12
57,15.1100007630184,18,17,12
41,4.74999976891451,13,7,10
59,30.7600008359498,12,8,8
49,11.6599993086257,12,12,11
65,10.0000003197544,13,8,10
50,6.13999974332639,13,12,12
57,19.2299977611586,12,13,12
50,12.0000002837208,12,8,12
45,9.49999955592324,14,12,10
53,13.4900009156807,14,16,12
34,4.74999976891451,12,10,11
34,8.49999985851168,9,11,6
54,11.85000094842,16,12,14
54,8.11000046274717,12,8,10
49,6.33999999089839,12,12,9
53,9.6100004498292,12,10,10
39,5.78000015999624,14,12,12
59,11.0000006968803,12,7,16
43,8.82999938859022,12,8,12
59,13.770000008874,13,16,12
40,10.3999988595371,12,12,12
39,7.70000075228858,9,6,8
56,19.2299977611586,15,18,12
50,9.6100004498292,13,9,12
50,6.69999967030098,12,6,12
45,18.0200018205653,16,10,12
54,9.1700008230439,12,4,11
45,5.00000015035391,11,12,12
63,21.6299987565971,18,19,12
51,13.1000007258305,12,12,12
46,12.0000002837208,12,12,12
56,3.32999996306275,15,18,16
59,6.25000035207661,15,13,12
55,12.9999989158205,14,12,16
60,7.09000040808461,14,12,12
46,22.1799993006969,15,12,12
58,13.2000007262734,12,11,12
55,12.3900014238723,13,16,16
54,7.04999992376313,17,12,12
51,5.00000015035391,12,14,12
40,9.91999882688834,12,7,10
63,5.00000015035391,13,8,12
53,10.2499995365509,12,9,11
38,6.00000013043245,10,9,8
50,6.99999962979244,13,12,12
56,7.50000036000163,12,3,6
47,8.0000000457117,12,12,9
51,6.50000022039036,12,12,12
59,24.0299971424374,18,12,12
44,10.5700003056235,12,10,12
62,25.4799997223953,19,12,12
51,14.5299990214097,16,6,18
56,13.4600008236162,17,13,11
37,13.3299992817315,14,12,12
57,4.33999974153845,12,12,16
62,23.2499988885373,16,19,12
60,35.4999977402969,13,14,15
45,7.50000036000163,12,12,12
41,20.0800018734446,17,19,15
37,10.5700003056235,11,9,9
53,14.1900013215553,12,12,8
43,15.4999989811186,12,18,12
60,9.72000037936065,16,12,12
31,10.0000003197544,12,12,12
58,13.5900000307123,16,16,12
61,9.36999971035273,18,19,12
49,16.2099997250628,14,14,16
49,9.15000054339561,9,10,11
58,14.3499998713834,12,12,12
63,11.1099988165607,16,12,11
34,11.1099988165607,12,12,10
48,15.0000007485731,12,12,12
65,16.8200000078926,16,12,12
43,14.4000002204835,12,14,14
42,4.350000074871,10,6,8
54,18.6499991376929,16,12,12
59,6.50000022039036,14,11,10
60,16.5000013411561,14,15,12
43,18.2600007350328,17,6,6
34,62.5000055192311,12,8,10
45,7.09000040808461,12,14,4
56,15.8599988579033,15,12,10
57,15.8599988579033,16,12,12
48,4.24999992116106,12,8,8
41,11.0000006968803,12,16,16
63,24.4699975368463,16,15,18
59,7.21000030202758,12,13,12
49,14.9300015729142,12,12,12
38,7.84000059829184,12,6,8
48,14.4900008445987,14,9,13
52,12.5000007279614,12,12,12
39,16.0000001218979,12,9,12
58,10.2199995664966,20,18,16
54,8.49999985851168,12,14,12
51,6.7300003989898,12,12,12
41,12.0000002837208,14,20,14
50,9.1700008230439,12,7,7
53,24.0299971424374,16,18,14
56,14.4999986970849,12,12,12
36,9.00000035701358,10,10,10
49,12.9900008654697,13,12,12
63,14.4199989125223,14,16,12
31,7.54999994460209,8,4,7
57,5.00000015035391,14,12,12
52,23.070000996654,16,16,19
56,12.9800012204044,12,12,12
35,9.58000054185959,12,0,8
50,9.49999955592324,12,12,12
56,13.4600008236162,13,12,12
62,14.0600003587161,17,17,12
62,28.8399978799749,14,12,12
34,11.0999986884218,13,12,10
48,8.0000000457117,12,12,12
29,7.34999999551426,12,9,12
57,12.0100008629772,12,12,9
63,100.160017786277,20,7,15
58,12.2700008223576,18,12,12
59,9.65000080022495,12,12,13
38,12.8499995058784,12,15,10
57,15.0000007485731,16,20,14
53,4.06000014426805,17,20,16
49,14.4199989125223,13,12,8
49,11.6599993086257,12,9,9
52,13.9800014432456,17,8,12
59,13.4600008236162,16,12,12
58,53.1999996444164,16,16,16
50,11.5299990227865,12,12,12
53,11.6200005022565,12,16,12
44,6.99999962979244,12,12,10
41,11.0000006968803,16,12,11
58,26.1500017758968,16,12,11
38,17.3499980809097,11,5,3
57,16.2699988913205,16,16,14
62,8.65000063917134,12,8,12
56,7.25000019900104,12,11,11
46,10.0000003197544,12,8,10
49,19.47999899331,16,12,12
41,15.6800012264487,14,11,12
60,6.50000022039036,12,12,12
59,11.9600013290811,16,12,10
61,14.4700016662039,18,13,15
51,12.8699994294939,12,11,10
54,18.4699984241706,20,18,16
59,7.21000030202758,16,16,16
35,8.66999936189802,9,9,9
53,23.070000996654,13,12,12
40,9.03000086780652,12,12,12
41,14.7800008764975,13,12,12
42,7.74999947579825,12,8,11
51,17.2000007865692,18,17,16
58,16.9200017253014,12,12,16
62,8.0000000457117,14,12,14
57,11.2300012125469,18,12,13
33,11.0000006968803,15,14,12
54,17.4799984489429,12,12,13
44,10.1499994365821,12,10,10
53,3.00000005950226,12,12,9
62,17.9200003155507,15,8,12
49,11.1099988165607,14,12,13
59,15.250001061769,12,12,12
49,10.0900006135386,12,12,12
62,12.3700012353393,13,16,14
51,4.05000018409785,12,14,11
58,13.8400006855757,16,12,12
53,7.90000049063744,12,16,12
39,12.6900014973305,12,12,12
31,5.24999980647442,12,12,13
49,19.2299977611586,16,12,13
52,6.39999986849593,12,5,11
57,7.97999983457535,12,20,12
46,10.5700003056235,13,3,10
62,20.0300019101243,16,14,16
45,4.69999986490709,12,8,12
63,17.2500005567155,16,12,12
56,14.8999994993659,16,14,12
49,14.0000009551801,13,12,11
62,28.0000019636906,18,12,16
45,13.5000007775677,13,12,11
58,6.99999962979244,18,20,16
42,9.13000035012688,12,12,12
43,10.0000003197544,12,8,13
35,5.31999979433232,12,9,12
28,6.39000021200509,13,11,7
61,14.2800001609925,16,16,14
51,9.58000054185959,14,16,16
60,15.3800003886813,13,16,12
56,33.9300014517254,14,12,12
58,16.2499990715245,13,16,12
63,3.49999980822993,17,14,4
60,38.4599955955701,16,16,14
61,15.8200014346334,19,6,10
56,9.49999955592324,12,8,9
56,10.0000003197544,17,16,14
27,6.98999987503632,12,9,11
54,9.88000049437861,13,14,12
38,8.0000000457117,12,10,10
51,10.8599998206265,12,16,12
43,10.3999988595371,16,8,8
54,23.6500024446901,17,16,14
59,15.3800003886813,16,12,16
56,23.4299990039207,15,12,12
54,7.14000006689703,12,12,12
54,16.0200016271944,13,14,12
61,16.480001687478,16,15,16
35,7.97999983457535,12,8,12
40,13.4600008236162,12,8,12
52,6.00000013043245,12,15,12
55,7.74999947579825,14,5,11
60,30.7600008359498,16,14,12
30,4.24999992116106,12,12,12
52,8.0000000457117,13,12,16
57,12.3999988592527,17,10,12
54,27.8799967578955,14,14,13
60,11.6200005022565,16,10,10
48,16.680000299504,12,12,12
54,19.2499978333618,16,12,14
53,10.5000008846453,12,12,12
54,11.9199992864559,19,8,13
52,12.9900008654697,13,11,10
61,11.5299990227865,17,14,12
39,8.75000081010976,12,7,7
56,6.79999970823133,18,12,12
47,26.9200016985058,13,10,12
53,10.8999991633546,12,12,12
61,14.3899992697727,12,12,12
58,19.47999899331,16,10,12
42,11.8300008753413,17,12,11
59,15.6199990558894,12,15,12
56,18.2600007350328,14,14,12
42,27.0000016065611,12,12,3
42,24.0000006131532,12,12,12
53,9.29999929346993,17,7,12
42,7.50000036000163,12,12,12
46,12.8200013341099,12,7,7
62,28.8399978799749,18,16,10
49,5.49999968231346,12,14,10
61,11.2099998197906,16,11,12
31,11.0000006968803,13,13,12
57,8.13000084525286,14,5,6
37,10.0000003197544,12,14,12
57,6.86000012150414,12,17,12
54,19.5799977843014,16,12,12
45,6.50000022039036,12,8,7
52,6.00000013043245,12,11,12
54,16.2499990715245,12,16,12
47,13.7299987657133,12,8,12
61,67.300006141845,16,12,12
50,12.9600002981331,12,8,10
52,16.7499996475351,12,14,12
40,17.850000670008,12,12,12
34,6.99999962979244,12,10,5
62,16.33999946095,17,20,19
44,8.75000081010976,12,12,12
60,21.6299987565971,16,18,13
47,13.6600007955774,12,15,15
44,6.75000037592745,12,14,14
31,5.00000015035391,10,7,8
31,8.0000000457117,11,11,12
57,12.5000007279614,16,14,14
48,20.1900015974197,12,12,12
39,8.36999942851116,16,11,12
50,7.30000029594506,12,10,12
62,33.8400035150563,18,20,16
49,18.2600007350328,12,14,12
55,14.1099994392019,14,8,12
52,15.3800003886813,16,12,12
49,10.390001151505,12,12,10
53,7.50000036000163,12,11,10
56,17.5899998662807,12,12,12
50,16.0500010308446,14,16,16
54,3.49999980822993,18,12,12
32,13.7500012321957,12,9,12
47,38.4599955955701,13,12,12
64,20.9099979034997,16,15,15
52,12.9999989158205,12,10,11
62,21.7300015745862,16,14,13
44,6.99999962979244,12,14,10
46,6.25000035207661,12,8,12
52,11.0000006968803,20,16,12
42,10.0000003197544,12,12,12
58,14.3700010704354,16,16,16
31,12.0599995222863,12,12,12
42,12.5000007279614,12,12,12
38,10.8200002187999,14,12,12
65,13.8600014871393,17,12,12
50,13.5100016100756,12,7,10
58,11.0000006968803,16,16,16
50,14.4400012793332,12,13,13
62,21.9699983362653,17,16,18
44,12.0000002837208,12,12,12
58,7.25000019900104,12,11,12
57,11.9199992864559,16,13,12
43,10.5000008846453,12,20,18
56,13.8600014871393,15,11,11
38,14.0000009551801,15,8,9
42,8.05000039196246,15,3,5
53,7.50000036000163,12,10,11
57,26.2099979155151,18,13,13
60,12.0100008629772,16,16,12
50,7.70000075228858,14,13,12
47,8.33000044942921,14,0,2
61,11.3899989074111,15,9,12
40,5.00000015035391,12,12,10
60,14.8999994993659,16,16,16
37,8.91000070155765,16,12,12
59,16.0200016271944,19,16,16
58,13.2000007262734,12,12,12
39,8.88999944142818,12,12,15
50,11.120000000294,10,16,12
50,7.81999952658765,13,12,14
60,20.4599991265829,14,12,12
55,9.13000035012688,12,12,12
48,18.2600007350328,15,14,10
45,7.20000009652825,12,11,12
63,40.1999988957033,17,16,16
51,5.00000015035391,12,11,8
42,14.4999986970849,13,12,12
25,15.0000007485731,8,12,10
53,16.8200000078926,12,8,8
52,12.5000007279614,16,12,13
48,10.8000003384303,14,12,12
56,29.1000027272845,12,12,14
41,8.90000081858007,12,12,11
41,4.79999997829089,12,12,12
54,15.7500016093565,16,2,3
48,8.33000044942921,12,12,12
49,10.2099996272945,12,14,12
56,10.1499994365821,15,12,7
37,7.35999971900244,14,9,10
49,7.50000036000163,12,10,12
59,14.4000002204835,12,11,8
50,10.0000003197544,14,17,12
60,19.2299977611586,16,12,12
52,7.57999979151497,14,12,12
54,10.0000003197544,12,8,12
59,32.2099987984878,16,16,16
47,30.0000015542858,12,15,13
61,23.4999972297807,20,16,14
60,37.5000029276625,16,12,12
53,11.7200001482561,12,12,12
33,5.00000015035391,14,12,12
46,13.5900000307123,18,16,12
34,6.91000035648431,8,7,9
59,15.3800003886813,16,14,15
35,8.0000000457117,13,0,0
57,11.8800007450358,12,8,13
31,5.49999968231346,8,8,8
53,11.3500008112045,16,16,12
40,8.80999917467582,12,12,11
63,26.9200016985058,19,16,14
54,6.50000022039036,12,12,12
29,4.22999991095666,12,9,12
49,9.13000035012688,13,12,12
31,8.45000031891683,12,12,12
60,6.75000037592745,13,14,12
30,10.0000003197544,7,9,8
33,7.10000018094276,12,7,12
48,5.59000025578097,12,14,15
54,12.9800012204044,17,12,14
49,6.99999962979244,12,16,12
40,6.99999962979244,12,3,11
59,20.4300016562428,16,8,12
45,20.1900015974197,16,12,12
53,12.1000011462339,12,9,8
63,31.2500027000951,19,19,16
53,11.6200005022565,14,12,12
56,12.9999989158205,13,12,12
63,17.1099989873094,17,16,16
51,10.5000008846453,12,12,14
56,21.0000018092883,12,12,12
47,8.39000087372974,14,8,9
58,21.149997669504,16,14,14
28,7.25000019900104,9,3,9
61,34.6100022647485,19,10,8
48,9.49999955592324,12,7,12
50,12.9999989158205,12,12,12
63,60.4300035559468,13,16,12
53,12.2499986576096,14,13,11
62,19.2299977611586,18,8,15
58,10.5700003056235,12,7,12
39,17.1200003756269,13,9,14
52,11.1799992000961,14,10,12
44,14.460000364135,12,12,12
58,11.1499991178856,16,20,12
61,8.63000072281942,12,12,12
60,37.9799993613274,16,16,13
51,12.5000007279614,12,12,12
47,20.8699990082496,12,9,9
49,5.00000015035391,12,12,12
55,10.5700003056235,14,6,12
46,13.4600008236162,13,11,16
59,8.07000095557595,16,12,12
42,8.0000000457117,12,6,7
50,7.50000036000163,12,14,12
53,23.070000996654,11,12,12
30,5.49999968231346,13,8,7
39,12.0000002837208,12,12,12
54,24.0299971424374,15,9,16
62,19.7299996571628,16,19,12
29,5.00000015035391,12,5,3
53,19.2299977611586,12,11,10
60,16.7800017794196,14,12,12
55,14.6099994791045,17,18,14
48,7.50000036000163,12,12,12
59,15.3800003886813,15,13,9
42,8.93000012189817,12,12,12
59,26.440000266289,19,18,16
54,8.88999944142818,12,14,12
46,10.8499996594486,12,10,12
43,8.13000084525286,14,5,11
55,3.24000006219111,12,10,12
52,12.0100008629772,15,12,12
54,9.6100004498292,16,13,14
52,23.070000996654,12,12,12
39,10.0000003197544,12,10,12
62,15.3800003886813,15,20,17
53,5.00000015035391,12,12,11
63,10.7399994570686,12,8,11
56,6.00000013043245,12,12,12
37,12.9999989158205,14,5,5
60,19.2299977611586,18,12,12
49,6.6599999388105,14,12,12
30,11.1499991178856,12,9,9
47,21.029998868554,12,12,12
53,10.8599998206265,12,12,14
46,9.00000035701358,12,12,12
28,15.0000007485731,12,0,9
59,8.25000065486466,13,16,16
58,21.3899980385835,12,15,12
58,16.0599992710864,16,12,12
47,19.2299977611586,12,5,10
60,20.0000006776018,15,16,12
57,10.7000004953848,12,12,12
62,10.5700003056235,16,12,12
54,8.71999910168366,16,20,19
63,88.4600131444966,20,20,20
57,25.6400027170551,18,12,12
35,3.77000001175379,9,6,9
58,14.3299991791056,13,8,8
48,20.830002133167,12,12,12
44,10.7199992113765,12,5,9
54,18.1800020019538,16,20,13
58,56.2500054000245,17,12,12
50,6.99999962979244,12,16,14
